機關名稱,開放時間,地址,電話,分機,手機
臺北自來水事業處陽明營業分處,週一至週五 0800~16:00,臺北市士林區中山北路5段82之1號,(02)28882108,,0920462008
臺北市政府警察局士林分局,全日24小時開放,臺北市士林區文林路235號,(02)28822625,,
臺北市立圖書館葫蘆堵分館,"週日至週一 09:00~17:00
週二至週六 08:30~21:00",臺北市士林區延平北路5段1號,(02)28126513,,
臺北市天母棒球場,比賽舉行才會開放,臺北市士林區忠誠路2段77號,(02)28736548,2101,
臺北市士林區公所士林公民會館,"週一至週日
09:00~12:00 / 14:00~17:00 / 18:00~21:00 ",臺北市士林區大東路75號,(02)88611753,,
臺北市公有士林市場,週一至週日 15:00~23:00,臺北市士林區基河路101號,(02)28815557,,
臺北市士林地政事務所,週一至週五 08:30~17:00,臺北市士林區中正路439號,(02)28812483,404,0938597500
臺灣士林地方法院士林簡易庭,週一至週五 08:30~17:30,臺北市士林區重慶北路4段2號,(02)28312321,565,
臺北市士林親子館,"週二至週五
09:30~12:00 
14:00~17:00
週六及週日
09:30~12:00
14:00~17:00 ",臺北市士林區基和路130號,(02)28830262,,0938597512
臺北市立圖書館李科永紀念圖書館,"週二至週六 08:30~21:00
週日、週一 09:00~17:00                             ",臺北市士林區中正路15號,(02)28833453,,
臺北高等行政法院,週一至週五 09:00~24:00,臺北市士林區富國路101號,(02)28333822,311,
臺北市公有士東市場,週二至週日 08:00~16:00,臺北市士林區士東路100號,(02)28345308,,
臺北大眾捷運股份有限公司-兒童新樂園,週一至週五       9:00~17:00             週六09:00~20:00         週日09:00~18:00,臺北市士林區承德路5段55號,(02)28833823,625,
"國立傳統藝術中心
(台灣戲曲中心)",週二至週日 10:00~18:00,臺北市士林區文林路751號,(02)88669614,,
陽明山國家公園管理處冷水坑遊客服務站,"週一至週日
09:00-16:30",臺北市士林區菁山路170號,(02)28610036,,
陽明山國家公園管理處擎天崗遊客服務站,週一至週日 09:00~16:30,臺北市士林區菁山路246號,(02)28615404,,
臺北市士林區公所,週一至週五8:30~17:30,臺北市士林區中正路439號,(02)28826200,8703,
臺北市政府工務局公園路燈工程管理處,週一至週日8:00~18:00,臺北市士林區福林路60號,(02)28812512,19,
新光三越百貨股份有限公司台北天母分公司,"週一至週日
11:00~21:30
",臺北市士林區忠誠路2段200號,(02)28756000,3608,
臺北表演藝術中心,週二至週日12:00-20:00,臺北市士林區劍潭路1號,(02)77563888,1731,
臺北市政府消防局第四救災救護大隊士林中隊劍潭分隊,週一至週日全天,臺北市士林區中北路5段376號,(02)28813019,,
臺北市北投區健康服務中心,週一到五8:30-17:30,臺北市北投區石牌路2段111號,(02)28261026,7253,
臺北市立圖書館石牌分館,週二到週六上午830到下午21:00/週一及週日上午9:00到下午17:00,臺北市北投區明德路5號3-10樓,(02)28239634,,
臺北市教師研習中心,週一到週五上午9:00到下午17:00,臺北市北投區建國街2號,(02)28616942,226,0920462008
陽明山國家公園管理處,週一到週五上午9:00到下午17:00,臺北市北投區子湖路1之20號,(02)28613601,802,
陽明山國家公園管理處,週一到五0900-17:00,臺北市北投區中興路12號,(02)28619816,197,
行政院國軍退除役官兵輔導委員會臺北榮民總醫院湖畔門診3樓,週一至週五08:00 至 17:30 /週六 08:00 至 14:00 ,臺北市北投區石牌路2段201號,(02)28712121,89911,
行政院國軍退除役官兵輔導委員會臺北榮民總醫院中正樓8樓,24小時,臺北市北投區石牌路2段201號,(02)28712121,6081、7081,
行政院國軍退除役官兵輔導委員會臺北榮民總醫院3門診6樓,週一到六08:00-17:00,臺北市北投區石牌路2段201號,(02)28757414,,0937235280
行政院國軍退除役官兵輔導委員會臺北榮民總醫院科技大樓,24小時,臺北市北投區石牌路2段201號,(02)28712121,28138,
行政院國軍退除役官兵輔導委員會臺北榮民總醫院二門診7樓,週一到五08:00-17:30/週六08:00-14:00,臺北市北投區石牌路2段201號,(02)28712121,,0938597512
行政院國軍退除役官兵輔導委員會臺北榮民總醫院長青樓1樓,24小時,臺北市北投區石牌路2段201號,(02)28712121,68411,
行政院國軍退除役官兵輔導委員會臺北榮民總醫院(致德樓3樓),週一到六08:00-17:00,臺北市北投區石牌路2段322號,(02)28712121,85223,
臺北市立關渡醫院,週一到五8:00-17:00,臺北市北投區知行路12號,(02)28587000,2091、2048,
國防醫學院三軍總醫院北投分院,週一到五9:00-17:00,臺北市北投區新民路60號,(02)28959808,603154,
臺北市北投運動中心,每天8:00-20:00,臺北市北投區石牌路1段100號,(02)28202880,9,
春天酒店股份有限公司,24小時,臺北市北投區幽雅路18號,(02)28924546,120,0932995738
臺北市政府環境保護局北投垃圾焚化廠,假日不開放.平時8:30-17:00,臺北市北投區洲美街271號,(02)28360050,107,
臺北市政府環境保護局北投垃圾焚化廠,週一到五08:00-21:00,臺北市北投區洲美街271號,(02)28360050,103,
臺北市政府警察局北投分局,24小時,臺北市北投區央北路1段1號,(02)28923241,,
臺北市立北投幼兒園,週一到五08:030-17:30,臺北市北投區明德路5號1-2樓,(02)28237022,18,
臺北市立圖書館北投分館,週日及週一09:00-17:00 週二至週六08:30-21:00,臺北市北投區光明路251號,(02)8977682,,
臺北市立圖書館清江分館,週日及週一09:00-17:00 週二至週六08:30-21:00,臺北市北投區公館路198號3樓,(02)28960315,,
臺北市立圖書館吉利分館,週日及週一09:00-17:00 週二至週六08:30-21:00,臺北市北投區立農街1段366號5.6.7.8樓,(02)28201633,,
臺北市立圖書館秀山閱覽室,週日及週一09:00-17:00 週二至週六08:30-21:00,臺北市北投區中和街534 號5至9樓,(02)28921475,9,
臺北市立圖書館永明閱覽室,週日及週一09:00-17:00 週二至週六08:30-21:00,臺北市北投區石牌路2段115號7-8樓,(02)28234141,,
日勝生加賀屋國際溫泉飯店股份有限公司,24小時,臺北市北投區光明路236號,(02)28985555,6013,
臺北市政府原住民事務委員會凱達格蘭文化館,週二到日09:00-17:00,臺北市北投區中山路3-1號,(02)28986500,503,
臺北捷運公司北投站,週一到日08:00-21:00,臺北市北投區光明路1號,,,0937235280
臺北大眾捷運股份有限公司－北投會館,週一到日07:00-22:00,臺北市北投區大業路88號,(02)28930105,8319,
臺北市政府文化局北投溫泉博物館,週二到日09:00-17:00,臺北市北投區中山路2號,(02)28939981,21,
社團法人台北市野鳥學會關渡自然公園管理處,週二到日9:00-17:00,臺北市北投區關渡路55號,(02)28587417,231,
臺北市北投親子館暨托嬰中心,9:30-12:00 14:00-17:00,臺北市北投區光明路22號,(02)28983217,217,
好市多股份有限公司北投分公司,週一到日10:00-21:30,臺北市北投區立德路117號,(02)77291880,207,
北投麗禧溫泉酒店,24小時,臺北市北投區幽雅路30號,(02)28967799,732、738,
台北市消防局第四大隊北投中隊陽明山分隊,24小時,臺北市北投區勝利路1之2號,(02)28616119,,0932995738
家樂福北投店,週一到日08:00-23:00,臺北市北投區中和街366號B1,(02)28963000,732、733,
北投老爺榮康股份有限公司酒店,週一到日09:00-21:00,臺北市北投區中和街2號,(02)28969777,8878,
臺北市立圖書館稻香分館,週日及週一09:00-17:00 週二至週六08:30-21:00,臺北市北投區稻香路81號8樓,(02)28940662,,
台灣電力公司台北北區營業處,週一到五08:00-17:00,臺北市北投區立德街1號,(02)28881678,6288,
臺北市立聯合醫院附設北投門診部,週一到五09:00-17:00,臺北市北投區公館路198號,(02)28912670,,
