行政區,地點,地址,樣態,開放時間,緯度,經度,相對位置,照片連結,管理單位,管理單位電話,備註
文山區,臺北市政府警察局文山第二分局,景中街2號,戶外開放式吸菸區,24小時開放,24.992503,121.541254,分局本部停車場出入口右側,,臺北市政府警察局文山第二分局,(02)29348641,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市政府警察局交通警察大隊,愛國西路26號,戶外開放式吸菸區,24小時開放,25.034988,121.511119,大隊本部側門,,臺北市政府警察局交通警察大隊,(02)23312750,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市中山堂,延平南路98號,戶外開放式吸菸區,24小時開放,25.043407,121.509855,面對中山堂酉陽街側出入口之左方位置,,臺北市中山堂管理所,(02)23873137-229,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,寶藏巖國際藝術村,汀州路3段230巷14弄2號,戶外開放式吸菸區,24小時開放,25.044902,121.533072,寶藏巖國際藝術村河岸廣場,,財團法人台北市文化基金會藝術村營運部,(02)23645313-130,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,客家文化會館,信義路3段157巷11號,戶外開放式吸菸區,周一至周五09:00-18:00,25.03452,121.54317,客家文化會館建物東側,,臺北市政府客家事務委員會,(02)27026141-320,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市客家文化主題公園,汀州路3段2號,戶外開放式吸菸區,24小時開放,25.01965,121.52588,音樂戲劇中心汀州路側門,,臺北市政府客家事務委員會,(02)23691198-338,本位置資訊僅供參考，實際情形以現場公告及標示為準
文山區,臺北市古亭地政事務所,萬隆街47之12號,戶外開放式吸菸區,24小時開放,25.00023,121.53602,驛車房-萬和地下停車場車道出口旁空地,,臺北市古亭地政事務所,(02)29355369-417,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,南港軍人公墓忠靈堂,研究院路3段130號,戶外開放式吸菸區,8:30-16:30,25.03695,121.6096,忠靈堂二樓往三樓階梯（１）,,臺北市政府兵役局,(02)27851282,本位置資訊僅供參考，實際情形以現場公告及標示為準
南港區,南港軍人公墓服務中心旁空地,研究院路3段130號,戶外開放式吸菸區,8:30-16:30,25.03475,121.61127,南港軍人公墓服務中心旁空地,,臺北市政府兵役局,(02)27851282,本位置資訊僅供參考，實際情形以現場公告及標示為準
萬華區,艋舺101大樓,艋舺大道101號,戶外開放式吸菸區,06:00-23:00,25.03354,121.50121,艋舺101大樓二樓西側外,,臺北市政府勞動局,(02)23040518,本位置資訊僅供參考，實際情形以現場公告及標示為準
中正區,臺北市政府青年局辦公大樓,仁愛路1段17號,戶外開放式吸菸區,24小時開放,25.0397,121.5219,地下停車場入口右邊上方之人行通道,,臺北市政府青年局,(02)23514078-1407,本位置資訊僅供參考，實際情形以現場公告及標示為準
大同區,心中山商圈-線形公園2,南京西路25巷,戶外負壓式吸菸區,08:00-24:00,25.05726,121.52059,雙連站1號出口後方,,臺北大眾捷運股份有限公司,(02)21812345,本位置資訊僅供參考，實際情形以現場公告及標示為準
大安區,市民大道3段206號對面高架橋下,市民大道3段206號對面高架橋下,戶外開放式吸菸區,24小時開放,25.044561,121.539813,昌隆公園對面高架橋下,,臺北市大安區公所,(02)23511711-8203,本位置資訊僅供參考，實際情形以現場公告及標示為準
信義區,信義路12,信義路5段5號,戶外開放式吸菸區,24小時開放,25.03388,121.56323,世貿一館5號出入口（市府路側）,,設置：臺北市政府交通局；維護清潔：臺北市政府工務局公園路燈工程管理處、臺北市政府環境保護局,(02)27208889-6866,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,崇實區民活動中心,通北街143號,戶外開放式吸菸區,24小時開放,25.084951,121.53791,入口處左側空地,,臺北市中山區公所,(02)25031369-519,本位置資訊僅供參考，實際情形以現場公告及標示為準
中山區,北安區民活動中心,北安路759巷6號,戶外開放式吸菸區,24小時開放,25.086239,121.55307,區民活動中心電梯旁空地,,臺北市中山區公所,(02)25031369-519,本位置資訊僅供參考，實際情形以現場公告及標示為準
